filename,ellipse_center_x,ellipse_center_y,ellipse_majoraxis,ellipse_minoraxis,ellipse_angle,elapsed_time
2018-02-15 18.32.49.235000.tiff,,,,,,26.365280151367188
2018-06-08 14.57.44.346000.tiff,493.3350830078125,456.045166015625,568.36328125,516.9537353515625,258.3754577636719,119.37093734741211
2018-07-24_111559.tiff,7965.3857421875,8737.3857421875,13709.6376953125,13697.9462890625,90.0,311.8939399719238
2018-11-06_111158.tiff,490.23858642578125,493.30743408203125,583.2352294921875,581.318603515625,172.36840057373047,38.34390640258789
2018-02-15 17.47.00.307000.tiff,5240.3857421875,-4124.38525390625,12112.46875,6993.1201171875,225.07821655273438,226.80377960205078
2018-06-08 16.20.38.646000.tiff,532.1116943359375,519.2561645507812,650.7650756835938,361.8385314941406,124.35710144042969,73.71687889099121
2018-06-08 15.00.10.616000.tiff,452.09649658203125,487.55584716796875,547.5601196289062,544.3673706054688,90.0,20.5080509185791
2018-06-05_135014.tiff,486.4117431640625,478.535888671875,605.22265625,547.7636108398438,182.2847900390625,373.0580806732178
2018-02-15 17.27.27.162000.tiff,,,,,,276.5998840332031
2018-05-04 13.54.29.405000.tiff,452.5025939941406,500.1120300292969,332.14691162109375,282.1352844238281,171.47225952148438,36.78393363952637
2018-06-08 15.07.53.070000.tiff,,,,,,18.145084381103516
2018-06-08 15.16.11.658000.tiff,,,,,,24.20663833618164
2018-06-08 13.53.22.261000.tiff,,,,,,13.709783554077148
2018-06-08 16.24.05.485000.tiff,302.8662109375,425.04241943359375,169.3658905029297,163.36276245117188,204.86422729492188,8.681058883666992
2018-06-08 14.50.26.725000.tiff,94.86307525634766,566.8642578125,220.09864807128906,123.50132751464844,98.87339401245117,13.048171997070312
2018-02-15 17.27.54.680000.tiff,5288.38525390625,5900.38525390625,12112.4677734375,6993.1201171875,134.9217872619629,326.0831832885742
2018-02-15 17.50.08.699000.tiff,490.5,490.5,580.3677368164062,580.3677368164062,90.0,12.874126434326172
2018-02-15 18.07.31.558000.tiff,,,,,,170.43304443359375
2018-06-08 15.09.56.613000.tiff,486.8426818847656,540.8367309570312,551.8319702148438,495.2170715332031,179.27837371826172,31.31699562072754
2018-02-15 18.17.43.413000.tiff,,,,,,12.00103759765625
2018-02-15 18.50.05.929000.tiff,480.43634033203125,490.0960388183594,599.9644165039062,571.8726806640625,268.87867736816406,352.73218154907227
2018-06-08 16.16.44.624000.tiff,834.1629028320312,446.27545166015625,144.3539276123047,32.0320930480957,203.2848358154297,79.25796508789062
2018-06-08 15.01.49.384000.tiff,801.6783447265625,498.03558349609375,214.73995971679688,183.57472229003906,102.68214225769043,191.65802001953125
2018-05-25 09.11.48.879000.tiff,5783.3857421875,-4596.3857421875,12112.4697265625,6993.12060546875,224.92178344726562,108.19888114929199
2018-02-15 19.24.25.837000.tiff,,,,,,81.36129379272461
